baker,last_name,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,1,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,12,IN
Benjamina,Ebuehi,23,Teaching assistant,South London,7,1,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,6,IN
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,1,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",5,IN
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,1,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,4,IN
Louise,Williams,46,Hairdresser,Cardiff,7,1,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,9,IN
Michael,Georgiou,20,Student,Durham,7,1,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,3,IN
Rav,Bansal,28,Student support,Erith,7,1,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,8,IN
Selasi,Gbormittah,30,Client service associate,London,7,1,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",1,IN
Tom,Gilliford,26,Project engagement manager,Rochdale,7,1,G&T Drizzle Cake,Black Forest Broken Mirror,2,IN
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,1,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,10,IN
Lee,Banfield,67,Pastor,Bolton,7,1,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,11,OUT
Jane,Beedle,61,Garden designer,Beckenham,7,1,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,7,STAR BAKER
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,2,Beehive Biscuits,Punting in Cambridge,4,IN
Benjamina,Ebuehi,23,Teaching assistant,South London,7,2,Bouquet Biscuits,"New York, New York",3,IN
Jane,Beedle,61,Garden designer,Beckenham,7,2,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,2,IN
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,2,"""A Biscuit for the Broads""","""I Promise I will do my best""",1,IN
Michael,Georgiou,20,Student,Durham,7,2,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,9,IN
Rav,Bansal,28,Student support,Erith,7,2,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,6,IN
Selasi,Gbormittah,30,Client service associate,London,7,2,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,11,IN
Tom,Gilliford,26,Project engagement manager,Rochdale,7,2,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,7,IN
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,2,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,5,IN
Louise,Williams,46,Hairdresser,Cardiff,7,2,Baa Bara Brith Biscuits,Gingerbread Wedding,10,OUT
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,2,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,8,STAR BAKER
Lee,Banfield,67,Pastor,Bolton,7,2,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,3,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,2,IN
Benjamina,Ebuehi,23,Teaching assistant,South London,7,3,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,6,IN
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,3,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,3,IN
Jane,Beedle,61,Garden designer,Beckenham,7,3,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,9,IN
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,3,Cobbled Loaf,The Corn Maiden,8,IN
Rav,Bansal,28,Student support,Erith,7,3,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,10,IN
Selasi,Gbormittah,30,Client service associate,London,7,3,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,5,IN
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,3,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",1,IN
Michael,Georgiou,20,Student,Durham,7,3,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,7,OUT
Tom,Gilliford,26,Project engagement manager,Rochdale,7,3,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,4,STAR BAKER
Lee,Banfield,67,Pastor,Bolton,7,3,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,3,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,4,Yorkshire 'Tapas' Puddings,Churros Window Box,4,IN
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,4,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,2,IN
Jane,Beedle,61,Garden designer,Beckenham,7,4,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,3,IN
Rav,Bansal,28,Student support,Erith,7,4,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,9,IN
Selasi,Gbormittah,30,Client service associate,London,7,4,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,8,IN
Tom,Gilliford,26,Project engagement manager,Rochdale,7,4,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,5,IN
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,4,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,6,IN
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,4,Christmas Dinner Compromise,Hot Cross Bunny Churros,7,OUT
Benjamina,Ebuehi,23,Teaching assistant,South London,7,4,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,1,STAR BAKER
Lee,Banfield,67,Pastor,Bolton,7,4,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,4,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,4,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,5,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,6,IN
Benjamina,Ebuehi,23,Teaching assistant,South London,7,5,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,5,IN
Jane,Beedle,61,Garden designer,Beckenham,7,5,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",1,IN
Rav,Bansal,28,Student support,Erith,7,5,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,8,IN
Selasi,Gbormittah,30,Client service associate,London,7,5,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",3,IN
Tom,Gilliford,26,Project engagement manager,Rochdale,7,5,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,4,IN
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,5,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",7,OUT
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,5,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",2,STAR BAKER
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,5,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,5,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,5,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,5,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,6,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,6,IN
Benjamina,Ebuehi,23,Teaching assistant,South London,7,6,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,2,IN
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,6,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,5,IN
Jane,Beedle,61,Garden designer,Beckenham,7,6,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,4,IN
Selasi,Gbormittah,30,Client service associate,London,7,6,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,7,IN
Rav,Bansal,28,Student support,Erith,7,6,Mandarin Margarita Meringue Pie,Blossom Cake,3,OUT
Tom,Gilliford,26,Project engagement manager,Rochdale,7,6,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,1,STAR BAKER
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,6,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,6,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,6,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,6,NA,NA,NA,NA
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,6,NA,NA,NA,NA
Benjamina,Ebuehi,23,Teaching assistant,South London,7,7,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,3,IN
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,7,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,2,IN
Jane,Beedle,61,Garden designer,Beckenham,7,7,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",4,IN
Selasi,Gbormittah,30,Client service associate,London,7,7,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",6,IN
Tom,Gilliford,26,Project engagement manager,Rochdale,7,7,Millionaire's Roulade,Hipster Picnic,5,OUT
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,7,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,1,STAR BAKER
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,7,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,7,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,7,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,7,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,7,NA,NA,NA,NA
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,7,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,8,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,2,IN
Jane,Beedle,61,Garden designer,Beckenham,7,8,Tudor Rose Pies,Swans,5,IN
Selasi,Gbormittah,30,Client service associate,London,7,8,Bouquet of Flowers,Fruity Tudor Marchpane,3,IN
Benjamina,Ebuehi,23,Teaching assistant,South London,7,8,Mexican Adventure,Tudor Garden,4,OUT
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,8,Cheesy Cheeky Fish Pies,Peacock,1,STAR BAKER
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,8,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,8,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,8,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,8,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,8,NA,NA,NA,NA
Tom,Gilliford,26,Project engagement manager,Rochdale,7,8,NA,NA,NA,NA
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,8,NA,NA,NA,NA
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,9,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,3,IN
Jane,Beedle,61,Garden designer,Beckenham,7,9,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,1,IN
Selasi,Gbormittah,30,Client service associate,London,7,9,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,4,OUT
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,9,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,2,STAR BAKER
Benjamina,Ebuehi,23,Teaching assistant,South London,7,9,NA,NA,NA,NA
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,9,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,9,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,9,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,9,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,9,NA,NA,NA,NA
Tom,Gilliford,26,Project engagement manager,Rochdale,7,9,NA,NA,NA,NA
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,9,NA,NA,NA,NA
Andrew,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,10,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,1,Runner-up
Jane,Beedle,61,Garden designer,Beckenham,7,10,"Red, White and Blue Meringue Crown",Family Favourites Feast,3,Runner-up
Candice,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,10,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,2,WINNER
Benjamina,Ebuehi,23,Teaching assistant,South London,7,10,NA,NA,NA,NA
Kate,Barmby,37,Nurse,"Brooke, Norfolk",7,10,NA,NA,NA,NA
Lee,Banfield,67,Pastor,Bolton,7,10,NA,NA,NA,NA
Louise,Williams,46,Hairdresser,Cardiff,7,10,NA,NA,NA,NA
Michael,Georgiou,20,Student,Durham,7,10,NA,NA,NA,NA
Rav,Bansal,28,Student support,Erith,7,10,NA,NA,NA,NA
Selasi,Gbormittah,30,Client service associate,London,7,10,NA,NA,NA,NA
Tom,Gilliford,26,Project engagement manager,Rochdale,7,10,NA,NA,NA,NA
Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,10,NA,NA,NA,NA
Chris,Geiger,50,Software developer,Bristol,8,1,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,12,IN
Flo,Atkins,71,Retired,Merseyside,8,1,Citrus Layer Cake,'One in a Melon' Cake,9,IN
James,Hillery,46,Banker,"Brentwood, Essex",8,1,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,2,IN
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,1,Courgette and Lemon Cake,'Russian Doll' Cake,3,IN
Kate,Lyon,29,Health and safety inspector,Merseyside,8,1,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,1,IN
Liam,Charles,19,Student,North London,8,1,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,8,IN
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,1,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,5,IN
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,1,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,11,IN
Tom,Hetherington,29,Architect,Edinburgh,8,1,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,7,IN
Yan,Tsou,46,Laboratory research scientist,North London,8,1,Windfall Apple Crumble Cake,'Banana-ramen' Cake,4,IN
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,1,Coconut Cake,'Bread on a Breadboard' Cake,10,OUT
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,1,Bonfire Night Cake,'A Baker's Lunch' Cake,6,STAR BAKER
Flo,Atkins,71,Retired,Merseyside,8,2,Gin Jam Butties,'Pick My Bones' Game,10,IN
James,Hillery,46,Banker,"Brentwood, Essex",8,2,Rhubarb and Custard Whirls,'Coppit' Game,3,IN
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,2,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,4,IN
Kate,Lyon,29,Health and safety inspector,Merseyside,8,2,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,8,IN
Liam,Charles,19,Student,North London,8,2,Coffee Malted Pecan Shorties,'Classroom Classics' Game,7,IN
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,2,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,2,IN
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,2,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,9,IN
Tom,Hetherington,29,Architect,Edinburgh,8,2,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,5,IN
Yan,Tsou,46,Laboratory research scientist,North London,8,2,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,1,IN
Chris,Geiger,50,Software developer,Bristol,8,2,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,11,OUT
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,2,Amarpressi Biscuits,'Check Bake' Game,6,STAR BAKER
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,2,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,3,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,9,IN
Kate,Lyon,29,Health and safety inspector,Merseyside,8,3,Blueberry Buns,'Kraken' Bread Sculpture,10,IN
Liam,Charles,19,Student,North London,8,3,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,5,IN
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,3,Tagine Teacakes,'Picnic Basket' Bread Sculpture,6,IN
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,3,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,1,IN
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,3,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,3,IN
Tom,Hetherington,29,Architect,Edinburgh,8,3,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,4,IN
Yan,Tsou,46,Laboratory research scientist,North London,8,3,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,8,IN
Flo,Atkins,71,Retired,Merseyside,8,3,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,7,OUT
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,3,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,2,STAR BAKER
Chris,Geiger,50,Software developer,Bristol,8,3,NA,NA,NA,NA
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,3,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,4,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,2,IN
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,4,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,9,IN
Liam,Charles,19,Student,North London,8,4,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,3,IN
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,4,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,4,IN
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,4,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,1,IN
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,4,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,7,IN
Yan,Tsou,46,Laboratory research scientist,North London,8,4,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,8,IN
Tom,Hetherington,29,Architect,Edinburgh,8,4,Stem Ginger Caramel Shortbreads,Hummingbird Cake,5,OUT
Kate,Lyon,29,Health and safety inspector,Merseyside,8,4,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,6,STAR BAKER
Chris,Geiger,50,Software developer,Bristol,8,4,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,4,NA,NA,NA,NA
